Name,ExternalId,Test Type,Date,Time,BW [KG],Reps,Tags,Additional Load [lb],Jump Height (Imp-Mom) in Inches [in] ,RSI-modified (Imp-Mom) [m/s] ,Eccentric Peak Force [N] ,Eccentric Peak Power / BM [W/kg] ,Eccentric Duration [ms] ,Concentric Peak Force [N] ,Concentric Peak Force / BM [N/kg] ,Concentric Duration [ms] 
27,,CMJ,01/16/2024,1:19 PM,78.09,3,,0,6.3,0.22,1633,24.9,489,1599,20.5,261
8,,CMJ,01/16/2024,1:19 PM,68.42,3,,0,13.9,0.45,1611,16.1,527,1625,23.8,260
26,,CMJ,01/16/2024,1:18 PM,74.95,3,,0,10.6,0.31,1604,22.8,521,1580,21.1,363
32,,CMJ,01/16/2024,1:18 PM,84.41,3,,0,16.8,0.55,2084,18.9,510,2084,24.7,262
33,,CMJ,01/16/2024,1:17 PM,92.23,3,,0,15.1,0.53,2333,24.4,458,2318,25.1,266
1,,CMJ,01/16/2024,1:17 PM,75.13,3,,0,11.1,0.43,1976,26.4,394,1913,25.5,262
13,,CMJ,01/16/2024,1:16 PM,63.06,3,,0,10.2,0.3,1378,20.1,528,1361,21.6,343
10,,CMJ,01/16/2024,1:15 PM,57.54,3,,0,10.4,0.33,1216,22.3,456,1198,20.8,347
28,,CMJ,01/16/2024,1:13 PM,64.0,3,,0,10.4,0.38,1537,23.5,420,1521,23.8,273
3,,CMJ,01/16/2024,1:09 PM,64.28,3,,0,12.7,0.44,1546,22.7,469,1539,23.9,265
2,,CMJ,01/11/2024,3:26 PM,67.74,3,,0,8.5,0.25,1311,14.8,540,1307,19.3,344
15,,CMJ,01/11/2024,3:24 PM,57.97,3,,0,15.6,0.59,1595,23.9,434,1586,27.4,239
4,,CMJ,01/11/2024,3:20 PM,61.62,3,,0,14.0,0.38,1332,12.1,643,1350,21.9,283
6,,CMJ,01/11/2024,3:19 PM,58.02,3,,0,15.5,0.59,1509,28.6,421,1503,25.9,246
18,,CMJ,01/11/2024,3:19 PM,90.15,3,,0,16.9,0.57,2117,25.1,462,2116,23.5,290
17,,CMJ,01/11/2024,3:17 PM,67.35,3,,0,11.8,0.34,1474,19.4,561,1459,21.7,322
23,,CMJ,01/11/2024,3:17 PM,77.92,3,,0,16.6,0.61,2057,23.4,440,2054,26.4,251
7,,CMJ,01/11/2024,3:16 PM,59.21,3,,0,9.1,0.31,1313,14.1,468,1312,22.2,275
21,,CMJ,01/11/2024,3:16 PM,57.16,3,,0,11.2,0.44,1355,17.0,427,1391,24.3,234
22,,CMJ,01/11/2024,3:15 PM,86.26,3,,0,17.1,0.55,2231,20.8,526,2236,25.9,264
5,,CMJ,01/11/2024,3:14 PM,81.88,3,,0,12.7,0.39,1749,16.3,527,1750,21.4,306
19,,CMJ,01/11/2024,3:13 PM,78.28,3,,0,14.1,0.52,1939,29.9,416,1911,24.4,271
9,,CMJ,01/11/2024,3:13 PM,64.81,3,,0,9.6,0.31,1392,18.6,481,1376,21.2,316
16,,CMJ,01/11/2024,3:10 PM,88.22,3,,0,19.4,0.62,2363,24.5,543,2353,26.7,262
29,,CMJ,01/11/2024,1:29 PM,91.94,3,,0,18.9,0.72,2555,26.4,426,2554,27.8,244
26,,CMJ,01/11/2024,1:28 PM,75.19,3,,0,10.6,0.33,1691,22.8,475,1651,22.0,331
32,,CMJ,01/11/2024,1:28 PM,85.49,3,,0,15.6,0.49,2131,19.1,559,2131,24.9,259
10,,CMJ,01/11/2024,1:27 PM,57.9,3,,0,10.7,0.34,1210,21.8,454,1197,20.7,344
13,,CMJ,01/11/2024,1:26 PM,63.5,3,,0,10.4,0.29,1250,17.1,568,1244,19.6,357
24,,CMJ,01/11/2024,1:23 PM,76.13,3,,0,11.0,0.38,1518,15.7,455,1610,21.1,287
34,,CMJ,01/11/2024,1:22 PM,70.78,3,,0,12.3,0.42,1502,15.3,479,1539,21.7,274
35,,CMJ,01/11/2024,1:22 PM,68.53,3,,0,14.0,0.45,1671,16.6,521,1675,24.4,273
20,,CMJ,01/11/2024,1:21 PM,78.75,3,,0,14.7,0.5,1770,15.8,490,1875,23.8,250
33,,CMJ,01/11/2024,1:20 PM,92.42,3,,0,16.0,0.54,2261,20.8,473,2262,24.5,275
36,,CMJ,01/11/2024,1:19 PM,90.75,3,,0,21.8,0.59,2224,19.4,639,2242,24.7,305
27,,CMJ,01/11/2024,1:19 PM,78.5,3,,0,7.1,0.24,1710,29.2,465,1576,20.1,283
8,,CMJ,01/11/2024,1:18 PM,68.75,3,,0,13.9,0.42,1607,15.4,575,1616,23.5,266
28,,CMJ,01/11/2024,1:18 PM,63.14,3,,0,10.8,0.38,1592,27.0,427,1561,24.7,291
14,,CMJ,01/11/2024,1:17 PM,61.18,3,,0,7.3,0.21,998,7.6,582,1268,20.7,323
3,,CMJ,01/11/2024,1:16 PM,64.81,3,,0,13.5,0.48,1612,26.9,454,1585,24.4,271
11,,CMJ,01/11/2024,1:15 PM,94.53,3,,0,18.8,0.63,2486,26.1,473,2426,25.7,281
31,,CMJ,01/09/2024,3:22 PM,49.56,3,,0,10.7,0.37,1125,17.3,456,1113,22.5,275
17,,CMJ,01/09/2024,3:21 PM,68.14,3,,0,11.0,0.33,1466,19.3,530,1452,21.3,323
9,,CMJ,01/09/2024,3:17 PM,64.73,3,,0,9.9,0.3,1332,14.3,528,1323,20.4,316
7,,CMJ,01/09/2024,3:16 PM,59.82,3,,0,9.1,0.31,1361,13.9,483,1363,22.8,256
19,,CMJ,01/09/2024,3:15 PM,77.46,3,,0,14.7,0.54,1799,23.9,405,1840,23.8,292
37,,CMJ,01/09/2024,3:14 PM,87.76,3,,0,12.1,0.36,2059,21.4,521,2050,23.4,320
21,,CMJ,01/09/2024,3:14 PM,57.05,3,,0,10.8,0.38,1214,14.7,480,1256,22.0,258
5,,CMJ,01/09/2024,3:13 PM,80.94,3,,0,13.5,0.39,1771,16.9,561,1772,21.9,314
23,,CMJ,01/09/2024,3:12 PM,77.58,3,,0,16.6,0.61,2028,24.3,443,2029,26.2,253
6,,CMJ,01/09/2024,3:12 PM,57.46,3,,0,15.1,0.57,1450,26.1,409,1440,25.1,257
4,,CMJ,01/09/2024,3:11 PM,61.64,3,,0,13.4,0.36,1294,12.4,640,1316,21.3,308
30,,CMJ,01/09/2024,3:11 PM,86.83,3,,0,15.5,0.44,2021,16.4,593,2023,23.3,295
22,,CMJ,01/09/2024,3:10 PM,85.34,3,,0,16.5,0.51,2120,17.0,559,2131,25.0,273
16,,CMJ,01/09/2024,3:10 PM,89.01,3,,0,19.3,0.58,2246,18.4,584,2262,25.4,267
15,,CMJ,01/09/2024,3:08 PM,59.21,3,,0,14.9,0.53,1552,20.2,475,1550,26.2,246
12,,CMJ,01/09/2024,1:27 PM,86.74,3,,0,18.2,0.63,2189,23.1,476,2183,25.2,264
24,,CMJ,01/09/2024,1:26 PM,76.36,3,,0,10.3,0.34,1547,15.4,472,1583,20.7,290
14,,CMJ,01/09/2024,1:24 PM,61.19,3,,0,7.3,0.21,1051,8.8,557,1303,21.3,330
10,,CMJ,01/09/2024,1:23 PM,57.64,3,,0,10.7,0.36,1213,20.9,432,1182,20.5,321
36,,CMJ,01/09/2024,1:21 PM,91.13,3,,0,21.2,0.69,2440,29.0,503,2444,26.8,284
3,,CMJ,01/09/2024,1:20 PM,64.56,3,,0,13.3,0.45,1541,23.0,481,1530,23.7,277
13,,CMJ,01/09/2024,1:18 PM,62.93,3,,0,10.6,0.31,1276,16.1,547,1272,20.2,331
32,,CMJ,01/09/2024,1:17 PM,85.78,3,,0,16.2,0.56,2197,20.9,490,2190,25.5,252
35,,CMJ,01/09/2024,1:17 PM,69.23,3,,0,12.6,0.41,1692,17.7,522,1696,24.5,268
34,,CMJ,01/09/2024,1:16 PM,71.05,3,,0,12.2,0.36,1425,13.1,578,1572,22.1,293
29,,CMJ,01/09/2024,1:15 PM,91.03,3,,0,19.0,0.71,2581,28.1,437,2556,28.1,243
28,,CMJ,01/09/2024,1:15 PM,63.2,3,,0,10.8,0.39,1639,26.9,420,1582,25.0,274
